Voyage date,Vessel name,Vessel master,Vessel cargo,Port of origin,Destination port,Voyage type
1856-09-08,Emilie Parker,James Jones,Flour,Port Townsend,Victoria,Outbound
1856-09-08,Emilie Parker,James Jones,Flour,Port Townsend,Victoria,Outbound
1856-09-09,Glencoe,Richard Carleton ,Assorted,Honolulu,Port Townsend,Inbound
1856-09-09,Glencoe,Richard Carleton ,Assorted,Honolulu,Port Townsend,Inbound
1856-09-13,Otter,William Alexander Mouat,Assorted,Nisqually,Port Townsend,Inbound
1856-09-13,Otter,William Alexander Mouat,Assorted,Port Townsend,Nisqually,Outbound
1856-09-13,Otter,William Alexander Mouat,Assorted,Port Townsend,Victoria,Outbound
1856-09-13,Otter,William Alexander Mouat,Assorted,Port Townsend,Victoria,Outbound
1856-09-15,Morning Star,T. / J. Daniels,Assorted,Olympia,Port Townsend,Inbound
1856-09-15,Morning Star,Daniels,Assorted,Port Townsend,Victoria,Outbound
1856-09-19,Morning Star,T. / J. Daniels,Ballast,Victoria,Port Townsend,Inbound
1856-09-19,Morning Star,T. / J. Daniels,Ballast,Victoria,Port Townsend,Inbound
1856-09-19,Morning Star,Daniels,Ballast,Port Townsend,Olympia,Outbound
1856-09-22,San Diego,C. Crofton,Ballast,Victoria,Port Townsend,Inbound
1856-09-22,San Diego,C. Crofton,Ballast,Victoria,Port Townsend,Inbound
1856-09-23,Emilie Parker,James Jones,Ballast,Victoria,Port Townsend,Inbound
1856-09-23,Colonel Ebey,F. W. James,Ballast,Victoria,Port Townsend,Inbound
1856-09-23,Emilie Parker,James Jones,Ballast,Victoria,Port Townsend,Inbound
1856-09-23,Colonel Ebey,F. W. James,Ballast,Victoria,Port Townsend,Inbound
1856-09-24,Wilhelmsberg,H. Muller,Ballast,San Francisco,Port Townsend,Inbound
1856-09-24,Wilhelmsberg,H. Muller,Ballast,San Francisco,Port Townsend,Inbound
1856-09-26,Glencoe,Richard Carleton ,Lumber,Port Gamble,Port Townsend,Inbound
1856-09-26,Glencoe,Carleton,Assorted,Port Townsend,Port Gamble,Outbound
1856-09-26,Glencoe,Carleton,Lumber,Port Townsend,San Francisco,Outbound
1856-09-26,Glencoe,R. Carlton,Lumber,Port Townsend,San Francisco,Outbound
1856-09-27,L. P. Foster,C. H. Moore,Ballast,Honolulu,Port Townsend,Inbound
1856-09-27,L. P. Foster,C. H. Moore,Ballast,Honolulu,Port Townsend,Inbound
1856-09-29,Coronal Picarte,William Haly,Lumber,Port Gamble,Port Townsend,Inbound
1856-09-29,Colonel Ebey,F. W. James,Ballast,Seattle,Port Townsend,Inbound
1856-09-29,Coronal Picarte,Haly,Ballast,Port Townsend,Port Gamble,Outbound
1856-09-29,Colonel Ebey,James Jones,Ballast,Port Townsend,Olympia,Outbound
1856-09-29,Coronal Picarte,Haly,Lumber,Port Townsend,Valparaiso,Outbound
1856-09-29,Colonel Ebey,James  ,Ballast,Port Townsend,Victoria,Outbound
1856-09-29,Coronal Picarte,William Haly,Lumber,Port Townsend,Valparaiso,Outbound
1856-09-29,Colonel Ebey,F. W. James,Ballast,Port Townsend,Victoria,Outbound
1856-10-03,Emilie Parker,James Jones,Flour,Olympia,Port Townsend,Inbound
1856-10-03,Emilie Parker,James Jones,Ballast,Port Townsend,Olympia,Outbound
1856-10-03,Emilie Parker,James Jones,Flour,Port Townsend,Victoria,Outbound
1856-10-03,Emilie Parker,James Jones,Flour,Port Townsend,Victoria,Outbound
1856-10-06,Kangaroo,W. A. Hurton,Ballast,Olympia,Port Townsend,Inbound
1856-10-06,Colonel Ebey,F. W. James,Ballast,Victoria,Port Townsend,Inbound
1856-10-06,Leonesa,Howard,Assorted,Port Townsend,Olympia,Outbound
1856-10-06,Leonesa,Edwd. Howard,Lumber,Port Townsend,San Francisco,Outbound
1856-10-08,Mathias Cousens,Thomas Downwood/Downward,Ballast,San Francisco,Port Townsend,Inbound
1856-10-15,L. P. Foster,C. H. Moore,Ballast,Port Townsend,,Outbound
1856-10-15,L. P. Foster,Thomas Johnson,Lumber,Port Townsend,Honolulu,Outbound
1856-10-20,Mercedes Montes,Hendrickson,Ballast,San Francisco,Port Townsend,Inbound
1856-10-31,Carbon,Sampson,Assorted,Port Townsend,Steilacoom,Outbound
1856-10-31,Carbon,A. W. Sampson,Spars,Port Townsend,Hong Kong,Outbound
1856-11-03,San Diego,C. Crofton,Ballast,Port Townsend,Olympia,Outbound
1856-11-03,San Diego,C. Crofton,Cranberries,Port Townsend,Victoria,Outbound
1856-11-11,Otter,William Alexander Mouat,Assorted,Victoria,Port Townsend,Inbound
1856-11-13,Mathias Cousens,Thomas Downward/Downwood,Lumber,Port Townsend,Valparaiso,Outbound
1856-11-14,Lizzie Jarvis,Thomas J. Knife,Ballast,San Francisco,Port Townsend,Inbound
1856-11-18,William and Martha,William M. / H. Arnold,Ballast,San Francisco,Port Townsend,Inbound
1856-11-18,Otter,William Alexander Mouat,Cattle &,Port Townsend,Victoria,Outbound
1856-11-21,I. I. Stevens,William Fitzpatrick,Ballast,Port Orchard,Port Townsend,Inbound
1856-11-26,Helen,John Stevens ,Ballast,Victoria,Port Townsend,Inbound
1856-11-26,Emma,Vinson,Ballast,Port Townsend,Olympia,Outbound
1856-11-26,Wilhelmsberg,Muller,Ballast,Port Townsend,Penn's Cove,Outbound
1856-11-26,Emma,L. Vinson,Assorted,Port Townsend,Victoria,Outbound
1856-11-26,Wilhelmsberg,H. Miller,Spars,Port Townsend,Toulon,Outbound
1856-11-27,Leonesa,Edward Howard,Assorted,San Francisco,Port Townsend,Inbound
1856-11-29,Frances,James Duncan,Ballast,San Francisco,Port Townsend,Inbound
1856-11-29,I. I. Stevens,William Fitzpatrick,Ballast,Victoria,Port Townsend,Inbound
1856-11-29,Frances,James Duncan,Lumber,Port Townsend,Callao,Outbound
1856-12-01,Pea,T. G. Schwarky,Ballast,San Francisco,Port Townsend,Inbound
1856-12-05,Mercedes Montes,P. Kunidian/P. Knudson,Lumber,Port Townsend,Valparaiso,Outbound
1856-12-06,Helen,John Stevens,Flour,Port Townsend,Victoria,Outbound
1856-12-09,Pucena Guzman,"Hagan, H. ",Ballast,San Francisco,Port Townsend,Inbound
1856-12-13,John,James Jones,Ballast,Victoria,Port Townsend,Inbound
1856-12-24,Live Yankee,A. B. Gove,Ballast,San Francisco,Port Townsend,Inbound
1856-12-24,Live Yankee,A. W. Gove,Lumber,Port Townsend,San Francisco,Outbound
1856-12-30,John,James Jones,Flour,Port Townsend,Victoria,Outbound
1856-12-31,Helen,John Stevens ,Ballast,Victoria,Port Townsend,Inbound
1857-01-09,A. Y. Trask,John E. Burns,Flour,Port Discovery,Port Townsend,Inbound
1857-01-09,William and Martha,William Arnold,Lumber,Port Townsend,Sydney,Outbound
1857-01-09,Helen,John Stevens,Assorted,Port Townsend,Victoria,Outbound
1857-01-09,A. Y. Trask,John Burns,Assorted,Port Townsend,Victoria,Outbound
1857-01-15,A. Y. Trask,John E. Burns,Ballast,Victoria,Port Townsend,Inbound
1857-01-15,L. P. Foster,C. H. Moore,Assorted,San Francisco,Port Townsend,Inbound
1857-01-20,Colgram,David Scott,Ballast,San Francisco,Port Townsend,Inbound
1857-01-20,John,James Jones,Ballast,Victoria,Port Townsend,Inbound
1857-01-29,G. W. Kendall,Henry Wilson,Brick,San Francisco,Port Townsend,Inbound
1857-01-31,Lizzie Jarvis,Thomas J. Knife,Lumber,Port Townsend,Hong Kong,Outbound
1857-02-02,John,James Jones,Flour,Port Townsend,Victoria,Outbound
1857-02-06,L. P. Foster,C. A. Moore,Lumber,Port Townsend,Hawaiian Islands,Outbound
1857-02-09,R. B. Potter,Franklin Tucker,Ballast,Olympia,Port Townsend,Inbound
1857-02-10,R. B. Potter,Frank Tucker,Ballast,Port Townsend,Victoria,Outbound
1857-02-11,Leonesa,Edwd. Howard,Lumber,Port Townsend,San Francisco,Outbound
1857-02-14,I. I. Stevens,William Fitzpatrick,Assorted,Port Townsend,Victoria,Outbound
1857-02-20,R. B. Potter,Franklin Tucker,Ballast,Victoria,Port Townsend,Inbound
1857-02-26,I. I. Stevens,William Fitzpatrick,Ballast,Victoria,Port Townsend,Inbound
1857-02-26,Otter,William Alexander Mouat,Assorted,Victoria,Port Townsend,Inbound
1857-02-26,Pea,J. G. Suencke,Sawed Lumber,Port Townsend,Callao,Outbound
1857-03-05,Pucena Guzman,H. Hagan,Sawed Lumber,Port Townsend,Valparaiso,Outbound
1857-03-05,Otter,William Alexander Mouat,Assorted,Port Townsend,Victoria,Outbound
1857-03-06,Amelie / Amelia,James H. Swift,Ballast,San Francisco,Port Townsend,Inbound
1857-03-14,John,John Stevens ,Ballast,Victoria,Port Townsend,Inbound
1857-03-14,John,John Stevens,Ballast,Port Townsend,Victoria,Outbound
1857-03-16,Colgram,David Scott,Lumber,Port Townsend,Australia,Outbound
1857-03-19,Otter,William Alexander Mouat,Assorted,Victoria,Port Townsend,Inbound
1857-03-21,Otter,William Alexander Mouat,Ballast,Port Townsend,Victoria,Outbound
1857-03-24,Otter,William Alexander Mouat,Ballast,Victoria,Port Townsend,Inbound
1857-03-28,Otter,William Alexander Mouat,Stock,Port Townsend,Victoria,Outbound
1857-03-30,Velez,John Jones ,Ballast,San Francisco,Port Townsend,Inbound
1857-04-04,Mary Dunn,John Stevens ,Ballast,Steilacoom,Port Townsend,Inbound
1857-04-04,Mary Dunn,John Stevens,,Port Townsend,Victoria,Outbound
1857-04-06,Otter,William Alexander Mouat,Assorted,Victoria,Port Townsend,Inbound
1857-04-08,G. W. Kendall,Henry Wilson,Lumber,Port Townsend,Peru,Outbound
1857-04-09,Otter,William Alexander Mouat,Ballast,Port Townsend,Victoria,Outbound
1857-04-10,Mary Dunn,John Stevens ,Oil,Victoria,Port Townsend,Inbound
1857-04-10,Mary Dunn,John Stevens,Oil,Port Townsend,Steilacoom,Outbound
1857-04-15,L. P. Foster,C. H. Moore,Assorted,Honolulu,Port Townsend,Inbound
1857-04-16,Jane Catherine,Sequit,Ballast,San Francisco,Port Townsend,Inbound
1857-04-16,Jenny Ford,M. Curly,Lumber,Port Townsend,Hawaiian Islands,Outbound
1857-04-17,Jenny Ford,John Curly / M. Curly / McCurly,,,Port Townsend,Inbound
1857-04-17,John,Thomas Laughter ,Ballast,Victoria,Port Townsend,Inbound
1857-04-17,John,Thomas Laughter,Ballast,Port Townsend,Victoria,Outbound
1857-04-18,Phantom,"B, Harris",Coal,Nanaimo,Port Townsend,Inbound
1857-04-27,Tory,Livingston,Ballast,San Francisco,Port Townsend,Inbound
1857-05-01,Mary Dunn,John Stevens ,Oil,Victoria,Port Townsend,Inbound
1857-05-02,Anadir,S. H. Surly,Lumber,Port Townsend,Falmouth,Outbound
1857-05-06,Otter,William Alexander Mouat,Assorted  ,Victoria,Port Townsend,Inbound
1857-05-07,Otter,William Alexander Mouat,Ast,Port Townsend,Victoria,Outbound
1857-05-09,Mary Dunn,S. Stevens,Flour,Port Townsend,Victoria,Outbound
1857-05-11,A. Y. Trask,James Keynes,Ast,Port Townsend,Victoria,Outbound
1857-05-15,A. Y. Trask,James Keymes,Ballast,Victoria,Port Townsend,Inbound
1857-05-18,Otter,William Alexander Mouat,Merchandise,Victoria,Port Townsend,Inbound
1857-05-19,Otter,William Alexander Mouat,Bull,Port Townsend,Victoria,Outbound
1857-05-19,Velez,John Jones,Lu ,Port Townsend,New South Wales,Outbound
1857-05-20,Mary Dunn,John Stevens ,Ballast,Victoria,Port Townsend,Inbound
1857-05-22,Wild Pigeon,James Jones,Bull ,Port Townsend,Victoria,Outbound
1857-05-26,Charles Davers,William G. Boyd,Ballast,San Francisco,Port Townsend,Inbound
1857-05-26,Mathias Cousens,Thomas Downwood/Downward,Ballast,San Francisco,Port Townsend,Inbound
1857-05-27,Wild Pigeon,James Jones,Ballast,Victoria,Port Townsend,Inbound
1857-05-27,L. P. Foster,C. H. Moore,Lu ,Port Townsend,Hawaiian Islands,Outbound
1857-06-02,Wild Pigeon,James Jones,Flour,Port Townsend,Victoria,Outbound
1857-06-02,Mary Dunn,S. Stevens,Flour,Port Townsend,Victoria,Outbound
1857-06-04,Jenny Ford,John Curly / M. Curly / McCurly,Merchandise,Honolulu,Port Townsend,Inbound
1857-06-06,A. Y. Trask,James Keynes,Mchdze,Port Townsend,Victoria,Outbound
1857-06-10,A. Y. Trask,James Keymes,Ballast,Victoria,Port Townsend,Inbound
1857-06-11,Mary Dunn,John Stevens ,Oil,Victoria,Port Townsend,Inbound
1857-06-11,Wild Pigeon,James Jones,Merchandise,Victoria,Port Townsend,Inbound
1857-06-11,Mary Dunn,Bolton,Mchdze,Port Townsend,Victoria,Outbound
1857-06-18,Mary Ann,Bollne/Bollao,Ballast,Victoria,Port Townsend,Inbound
1857-06-20,Mary Dunn,S. Stevens,Mchdze,Port Townsend,Victoria,Outbound
1857-06-20,Wild Pigeon,James Jones,Mchdze,Port Townsend,Victoria,Outbound
1857-06-23,Jane Catherine,Sequiet/Sequint/Sequit,Lum ,Port Townsend,Sydney,Outbound
1857-06-23,Say/Tory,Livingston,L,Port Townsend,Sydney,Outbound
1857-06-24,Wild Pigeon,James Jones,Ballast,Victoria,Port Townsend,Inbound
1857-06-30,Leonesa,Edward Howard,Merchandise,San Francisco,Port Townsend,Inbound
1857-06-30,Hamilton,S. Daw/J Van/James Parr/Farr,Ballast,San Francisco,Port Townsend,Inbound
1857-07-01,Otter,William Alexander Mouat,Merchandise,Victoria,Port Townsend,Inbound
1857-07-04,Jenny Ford,McCurly,L,Port Townsend,San Francisco,Outbound
1857-07-04,Otter,William Alexander Mouat,Merch,Port Townsend,Victoria,Outbound
1857-07-04,Wild Pigeon,James Jones,Merch,Port Townsend,Victoria,Outbound
1857-07-05,Mary Dunn,John Stevens ,Ballast,Victoria,Port Townsend,Inbound
1857-07-13,Mary Dunn,John Stevens,Flour,Port Townsend,Victoria,Outbound
1857-07-15,Leonesa,Howard,L,Port Townsend,San Francisco,Outbound
1857-07-21,L. P. Foster,C. H. Moore,Merchandise,Honolulu,Port Townsend,Inbound
1857-07-22,Mathias Cousens,Thomas Downward/Downwood,L,Port Townsend,Valparaiso,Outbound
1857-07-23,Mary Dunn,John Stevens ,Buck / Brick,Victoria,Port Townsend,Inbound
1857-07-26,Wild Pigeon,James Jones,Coal,Victoria,Port Townsend,Inbound
1857-07-27,Mary Ann,Cornish,B,Port Townsend,Victoria,Outbound
1857-07-31,Mary Dunn,S. Stevens,Flour,Port Townsend,Victoria,Outbound
1857-07-31,Wild Pigeon,James Jones,Flour,Port Townsend,Victoria,Outbound
1857-08-01,William and Martha,William M. / H. Arnold,Ballast,Sydney,Port Townsend,Inbound
1857-08-02,Georgiana,Stephen Reynolds,Ballast,San Francisco,Port Townsend,Inbound
1857-08-05,Mary Dunn,John Stevens ,Ballast,Sydney,Port Townsend,Inbound
1857-08-05,Wild Pigeon,James Jones,Ballast,Victoria,Port Townsend,Inbound
1857-08-05,L. P. Foster,C. H. Moore,L,Port Townsend,Honolulu,Outbound
1857-08-10,Mary Ann,Cornish,Brick,Victoria,Port Townsend,Inbound
1857-08-12,Wild Pigeon,James Jones,Flour,Port Townsend,Victoria,Outbound
1857-08-12,Mary Dunn,S. Stevens,Flour,Port Townsend,Victoria,Outbound
1857-08-13,Jose Gumarcery/Gumareenz,William Chandler,Ballast,San Francisco,Port Townsend,Inbound
1857-08-19,Mary Dunn,John Stevens ,Ballast,Victoria,Port Townsend,Inbound
1857-08-19,Wild Pigeon,James Jones,Brick,Victoria,Port Townsend,Inbound
1857-08-21,Hamilton,S. Daw/J Van/James Parr/Farr,L,Port Townsend,Hong Kong,Outbound
1857-08-22,Island Queen,Edward Hump/Stamp,Ballast,Victoria,Port Townsend,Inbound
1857-08-24,Constitution,James M. Hunt,Merchandise,San Francisco,Port Townsend,Inbound
1857-08-24,Eli Whitney,Leonard Smalley/Smulley,Ballast,San Francisco,Port Townsend,Inbound
1857-08-24,Jenny Ford,S. F. / S. P. / S. J. Sargent,Merchandise,San Francisco,Port Townsend,Inbound
1857-08-25,Mary Dunn,S. Stevens,Flour,Port Townsend,Victoria,Outbound
1857-08-26,Wild Pigeon,James Jones,Flour,Port Townsend,Victoria,Outbound
1857-08-26,A. Y. Trask,Thomas Slater,Mdze,Port Townsend,Victoria,Outbound
1857-08-31,Georgiana,Stephen Reynolds,Lumber,Port Townsend,Valparaiso,Outbound
1857-09-02,Adounee,C. K. Robbins,Ballast,Victoria,Port Townsend,Inbound
1857-09-02,Constitution,James M. Hunt,Merchandise,Victoria,Port Townsend,Inbound
1857-09-02,Constitution,James M. Hunt,Mdze,Port Townsend,Victoria,Outbound
1857-09-02,William + Martha,W. H. Anola / U. U.  Arnola,L ,Port Townsend,Victoria,Outbound
1857-09-04,Constitution,James M. Hunt,Ballast,Victoria,Port Townsend,Inbound
1857-09-13,Constitution,James M. Hunt,Ballast,Port Townsend,Victoria,Outbound
1857-09-14,Palmetto,S. B. Kinney,Merchandise,San Francisco,Port Townsend,Inbound
1857-09-16,Constitution,James M. Hunt,Ballast,Victoria,Port Townsend,Inbound
1857-09-16,A. Y. Trask,Thomas W. Slater,Merchandise,Victoria,Port Townsend,Inbound
1857-09-17,H. C. Page,"Roeder, Henry",Ballast,Port Townsend,Victoria,Outbound
1857-09-18,Wild Pigeon,James Jones,Brick + Sail,Victoria,Port Townsend,Inbound
1857-09-18,Mary Dunn,John Stevens ,Sail,Victoria,Port Townsend,Inbound
1857-09-22,Live Yankee,A. B. Gove,Ballast,San Francisco,Port Townsend,Inbound
1857-09-24,L. P. Foster,C. H. Moore,Merchandise,Honolulu,Port Townsend,Inbound
1857-09-24,Jose Gumarcery/Gumareenz,William Chandler,L ,Port Townsend,Valparaiso,Outbound
1857-09-25,Wild Pigeon,James Jones,Flour,Port Townsend,Victoria,Outbound
1857-09-26,Sea Nymph,S. G. Stege,Ballast,San Francisco,Port Townsend,Inbound
1857-09-26,Adounee,C. R. Robbins,L,Port Townsend,Hawaiian Islands,Outbound
1857-09-28,Constitution,James M. Hunt,B ,Port Townsend,Victoria,Outbound
1857-10-02,Constitution,James M. Hunt,Ballast,Victoria,Port Townsend,Inbound
1857-10-03,Wild Pigeon,James Jones,Ballast,Victoria,Port Townsend,Inbound
1857-10-03,Island Queen,Edwd. Hump / Edw. Stamp,B,Port Townsend,Victoria,Outbound
1857-10-03,Jenny Ford,S. F. / S. P. / S. J. Sargent,L,Port Townsend,Honolulu,Outbound
1857-10-05,Eli Whitney,S. C. Snially/S.C. Smally / Leonard Smalley/Smulley,L,Port Townsend,Sydney,Outbound
1857-10-08,Island Queen,Edward Hump/Stamp,Sullivan,Victoria,Port Townsend,Inbound
1857-10-12,H. C. Page,Henry Roeder,Sail,Victoria,Port Townsend,Inbound
1857-10-12,Constitution,James M. Hunt,B,Port Townsend,Victoria,Outbound
1857-10-13,Wild Pigeon,James Jones,Ast,Port Townsend,Victoria,Outbound
1857-10-14,Constitution,Edward Howard,Ballast,Victoria,Port Townsend,Inbound
1857-10-14,Island Queen,Edwd. Hump / Edw. Stamp,[illeg],Port Townsend,Victoria,Outbound
1857-10-14,Live Yankee,A. W. Gove,L,Port Townsend,San Francisco,Outbound
1857-10-25,Constitution,James M. Hunt,Mdz ,Port Townsend,Victoria,Outbound
1857-10-26,Consort,Candage,Merchandise,San Francisco,Port Townsend,Inbound
1857-10-26,Sebastopol,Dawson,Ballast,San Francisco,Port Townsend,Inbound
1857-10-26,L. P. Foster,C. H. Moore,L,Port Townsend,San Francisco,Outbound
1857-10-28,Constitution,James M. Hunt,Merchandise,Victoria,Port Townsend,Inbound
1857-10-31,Constitution,James M. Hunt,Bal ,Port Townsend,Victoria,Outbound
1857-11-02,Palmetta,S. B. Kinney,L,Port Townsend,Hong Kong,Outbound
1857-11-03,Canlin/Canton,Eckerman,Merchandise,San Francisco,Port Townsend,Inbound
1857-11-03,Sea Nymph,S. G. Siege,L,Port Townsend,Hong Kong,Outbound
1857-11-03,A. Y. Trask,P. Byrnes,Ast,Port Townsend,Victoria,Outbound
1857-11-04,Leonard / Leonede,B. H. Molehele,Merchandise,San Francisco,Port Townsend,Inbound
1857-11-04,Wild Pigeon,James Jones,Merchandise,Victoria,Port Townsend,Inbound
1857-11-12,Wild Pigeon,James Jones,Mdze,Port Townsend,Victoria,Outbound
1857-11-14,Constitution,James M. Hunt,Ballast,Victoria,Port Townsend,Inbound
1857-11-14,Constitution,James M. Hunt,Mdze,Port Townsend,Victoria,Outbound
1857-11-24,Jenny Ford,S. F. / S. P. / S. J. Sargent,Merchandise,Honolulu,Port Townsend,Inbound
1857-11-25,Wild Pigeon,James Jones,Brick,Victoria,Port Townsend,Inbound
1857-11-25,Constitution,James M. Hunt,Merchandise,Victoria,Port Townsend,Inbound
1857-11-27,A. Y. Trask,P. Bynam,Merchandise,Victoria,Port Townsend,Inbound
1857-11-27,Live Yankee,A. B. Gove,Ballast,San Francisco,Port Townsend,Inbound
1857-11-27,Cyrus,William H. Diggs,Merchandise,San Francisco,Port Townsend,Inbound
1857-11-27,Alexander,W. H. Holloway,Ballast,San Francisco,Port Townsend,Inbound
1857-11-28,Colonel Ebey,J. Hampton,Mdze,Port Townsend,Victoria,Outbound
1857-12-01,Rob Roy,Alex McLean,Mdze,Port Townsend,Victoria,Outbound
1857-12-04,L. P. Foster,C. H. Moore,Merchandise,San Francisco,Port Townsend,Inbound
1857-12-04,Wild Pigeon,James Jones,Flour,Port Townsend,Victoria,Outbound
1857-12-04,Carbon,Eckerman,Lumber,Port Townsend,Hong Kong,Outbound
1857-12-08,Wild Pigeon,James Jones,Ballast,Victoria,Port Townsend,Inbound
1857-12-10,Colonel Ebey,J. Hampton,Merchandise,Victoria,Port Townsend,Inbound
1857-12-14,Wild Pigeon,James Jones,Mdze,Port Townsend,Hong Kong,Outbound
1857-12-14,Sebastopol,William Dawson,L ,Port Townsend,Sydney,Outbound
1857-12-14,Live Yankee,A. W. Gove,L ,Port Townsend,San Francisco,Outbound
1857-12-19,Jenny Ford,S. F. / S. P. / S. J. Sargent,L,Port Townsend,San Francisco,Outbound
1857-12-21,Wild Pigeon,James Jones,Ballast,Victoria,Port Townsend,Inbound
1857-12-21,Lizzie Jarvis,Thomas J. Knife,Ballast,San Francisco,Port Townsend,Inbound
1857-12-21,Rob Roy,Alex McLean,Buck / Brick,Victoria,Port Townsend,Inbound
1857-12-24,J. M. Ebey,S./J. Hampton,Mdze,Port Townsend,Victoria,Outbound
1857-12-24,Wild Pigeon,James Jones,Mdze,Port Townsend,Victoria,Outbound
1857-12-26,Mary Ann,W. B. Bollin,Cattle,Port Townsend,Victoria,Outbound
1857-12-26,L. P. Foster,C. H. Moore,L,Port Townsend,Honolulu,Outbound
1857-12-27,Otter,William Alexander Mouat,Ballast,Victoria,Port Townsend,Inbound
1857-12-28,Gov Gen Duyman Wm Timber / Von Levitt,C. E. Hucksina/Hockson/Hockman,Ballast,San Francisco,Port Townsend,Inbound
1857-12-31,Otter,William Alexander Mouat,B,Port Townsend,Victoria,Outbound
1858-01-08,Colonel Ebey,J. Hampton,Merchandise,Victoria,Port Townsend,Inbound
1858-01-08,Wild Pigeon,James Jones,Ballast,Victoria,Port Townsend,Inbound
1858-01-12,Wild Pigeon,James Jones,Mdze,Port Townsend,Victoria,Outbound
1858-01-15,Ravensdale,C. Ducas/Duean,Sheep,Sydney,Port Townsend,Inbound
1858-01-15,Mary Ann,J. Little,Buck / Brick,Victoria,Port Townsend,Inbound
1858-01-15,R. B. Potter,Moses N. Norwood / W. J. Norwood,Ballast,Port Townsend,Victoria,Outbound
1858-01-16,Wild Pigeon,James Jones,Ballast,Victoria,Port Townsend,Inbound
1858-01-19,R. B. Potter,W. J. Norwood,Ballast,Victoria,Port Townsend,Inbound
1858-01-20,Otter,William Alexander Mouat,Merchandise,Victoria,Port Townsend,Inbound
1858-01-22,Mary Ann,Joseph Little,Mdze,Port Townsend,Victoria,Outbound
1858-01-23,Beaver,Joseph Swanson,Ballast,Victoria,Port Townsend,Inbound
1858-01-24,Jessie,,,Port Townsend,Victoria,Outbound
1858-01-27,Otter,William Alexander Mouat,Mdze,Port Townsend,Victoria,Outbound
1858-01-27,Alexander,W. H. Holloway,L,Port Townsend,Sydney,Outbound
1858-01-27,Beaver,S. Swanson,B,Port Townsend,Victoria,Outbound
1858-01-28,Mathias Cousens,Mounck/Mouet,Ballast,San Francisco,Port Townsend,Inbound
1858-01-30,Jenny Ford,S. F. / S. P. / S. J. Sargent,Merchandise,San Francisco,Port Townsend,Inbound
1858-02-01,Beaver,Joseph Swanson,Ballast,Victoria,Port Townsend,Inbound
1858-02-03,May Flower,Reed,Ballast,San Francisco,Port Townsend,Inbound
1858-02-10,Mary Dunn,John Stevens ,Oil,Victoria,Port Townsend,Inbound
1858-02-11,Rob Roy,Alex McLean,Merchandise,Victoria,Port Townsend,Inbound
1858-02-17,Lizzie Jarvis,Thomas J. Knife,L,Port Townsend,Hong Kong,Outbound
1858-02-17,Gov Gen Duyman Wm Timber / Von Levitt,C. E. Hucksina/Hockson/Hockman,L,Port Townsend,Hong Kong,Outbound
1858-02-20,Spray,Rashbey,Ballast,San Francisco,Port Townsend,Inbound
1858-02-20,Wild Pigeon,James Jones,Ballast,Victoria,Port Townsend,Inbound
1858-02-26,L. P. Foster,C. H. Moore,Merchandise,Hawaiian Islands,Port Townsend,Inbound
1858-02-26,George Raynes,Batchelder,Ballast,San Francisco,Port Townsend,Inbound
1858-02-26,Ujacously,Henderson,Ballast,San Francisco,Port Townsend,Inbound
1858-02-26,May Flower,Reed,L,Port Townsend,Hawaiian Islands,Outbound
1858-02-28,Jenny Ford,Sergeant,L,Port Townsend,San Francisco,Outbound
1858-03-05,Beaver,Joseph Swanson,Ballast,Victoria,Port Townsend,Inbound
1858-03-06,Beaver,S. Swanson,Ast,Port Townsend,Victoria,Outbound
1858-03-06,R. B. Potter,W. J. Norwood,Ast,Port Townsend,Victoria,Outbound
1858-03-08,Jane Catherine,R. Rochenster,Ballast,San Francisco,Port Townsend,Inbound
1858-03-11,Mary Dunn,S. Stevens,Ast,Port Townsend,Victoria,Outbound
1858-03-13,Rog/Rug / John?,Laughter,Ballast,Victoria,Port Townsend,Inbound
1858-03-13,Wild Pigeon,James Jones,Ast,Port Townsend,Victoria,Outbound
1858-03-17,Kit Carson,Bellingham,Ballast,San Francisco,Port Townsend,Inbound
1858-03-17,Daw/Don,N. Haugenson/Hangenson/Hagerson,Ballast,San Francisco,Port Townsend,Inbound
1858-03-17,John,Thomas Laughter,Mdze,Port Townsend,Victoria,Outbound
1858-03-19,Wild Pigeon,James Jones,Ballast,Victoria,Port Townsend,Inbound
1858-03-20,Mary Dunn,John Stevens ,Ballast,Victoria,Port Townsend,Inbound
1858-03-20,Spray,R. Ashbey,L,Port Townsend,Hong Kong,Outbound
1858-03-20,L. P. Foster,C. H. Moore,L,Port Townsend,Hawaiian Islands,Outbound
1858-03-20,Sea Bird,J. Conner,P,Port Townsend,Victoria,Outbound
1858-03-26,Wild Pigeon,James Jones,Flour,Port Townsend,Victoria,Outbound
1858-03-26,Mathias Cousens,H. Norwick,L,Port Townsend,Valparaiso,Outbound
1858-03-28,N. U. Schurenger/V.U. Schwanger,Ross,Ballast,Honolulu,Port Townsend,Inbound
1858-03-29,Torrent,A. W. Gove,Ballast,San Francisco,Port Townsend,Inbound
1858-03-31,Wild Pigeon,James Jones,Ballast,Victoria,Port Townsend,Inbound
1858-03-31,Sea Bird,Francis Conner,Ballast,Victoria,Port Townsend,Inbound
1858-03-31,Therese,E. Kersting,Ballast,Hong Kong,Port Townsend,Inbound
1858-03-31,A. Y. Trask,Philip Bynum,Mdze,Port Townsend,Victoria,Outbound
